Title,year,Rating,Run Time,imdb_rating,Budget,Gross_worldwide,Director,Metascore
Gandhi,1982,PG,3h 11m,8.1,"$22,000,000 (estimated)","$52,767,889",Richard Attenborough,79
The Grapes of Wrath,1940,Passed,2h 9m,8.1,"$800,000 (estimated)",null,John Ford,96
The Truman Show,1998,PG,1h 43m,8.2,"$60,000,000 (estimated)","$264,118,201",Peter Weir,90
All About Eve,1950,Passed,2h 18m,8.2,"$1,400,000 (estimated)","$151,052",Joseph L. Mankiewicz,98
The Prestige,2006,PG-13,2h 10m,8.5,"$40,000,000 (estimated)","$109,676,311",Christopher Nolan,66
Memories of Murder,2003,Not Rated,2h 12m,8.1,"$2,800,000 (estimated)","$1,166,717",Bong Joon Ho,82
"The Good, the Bad and the Ugly",1966,R,2h 58m,8.8,"$1,200,000 (estimated)","$25,253,887",Sergio Leone,90
Everything Everywhere All at Once,2022,R,2h 19m,8.8,null,"$48,517,603",Dan Kwan,81
Cool Hand Luke,1967,GP,2h 7m,8.1,"$3,200,000 (estimated)",$67,Stuart Rosenberg,92
Grave of the Fireflies,1988,Not Rated,1h 29m,8.5,"$3,700,000 (estimated)","$516,962",Isao Takahata,94
The Departed,2006,R,2h 31m,8.5,"$90,000,000 (estimated)","$291,480,452",Martin Scorsese,85
Logan,2017,R,2h 17m,8.1,"$97,000,000 (estimated)","$619,179,950",James Mangold,77
Whiplash,2014,R,1h 46m,8.5,"$3,300,000 (estimated)","$49,396,747",Damien Chazelle,88
A Clockwork Orange,1971,X,2h 16m,8.3,"$2,200,000 (estimated)","$26,960,374",Stanley Kubrick,77
The Usual Suspects,1995,R,1h 46m,8.5,"$6,000,000 (estimated)","$23,341,568",Bryan Singer,77
The Seventh Seal,1957,Not Rated,1h 36m,8.1,"$150,000 (estimated)","$288,931",Ingmar Bergman,88
The Help,2011,PG-13,2h 26m,8.1,"$25,000,000 (estimated)","$216,639,112",Tate Taylor,62
Vertigo,1958,PG,2h 8m,8.3,"$2,479,000 (estimated)","$7,797,728",Alfred Hitchcock,100
Full Metal Jacket,1987,R,1h 56m,8.3,"$30,000,000 (estimated)","$46,357,676",Stanley Kubrick,76
Jaws,1975,PG,2h 4m,8.1,"$7,000,000 (estimated)","$471,411,300",Steven Spielberg,87
The Lord of the Rings: The Return of the King,2003,PG-13,3h 21m,9,"$94,000,000 (estimated)","$1,146,436,214",Peter Jackson,94
